Armas_Medios;Departamento;Municipio;Fecha_Hecho;Genero;Edad_Persona;Codigo_Dane;Delitos;Mes;Cantidad
Sin Empleo De Armas;Cundinamarca;Mosquera;29/03/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Mosquera;26/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;28/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;10/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Mosquera;28/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;27/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;29/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;28/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;6/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;17/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;29/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;24/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;23/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;25/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;24/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;25/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;25/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;26/03/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Madrid;26/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;26/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;28/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;26/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Madrid;8/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;27/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;26/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;28/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;24/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;24/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;8/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;21/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;23/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;22/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;24/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;24/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;24/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;25/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;23/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;23/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;8/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;12/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;19/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;16/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
